,001e0610ba46,001e0610ba15,001e0610ee33,001e0610ee82,001e0610ef27,001e061135cb,001e06113ad8,001e06112e77,001e0610f6db,001e06113107,001e06114fd4,001e0610e539,001e0610f703,001e0610e835,001e0610eef2,001e0610ee43,001e0610f05c,001e0610e537,001e06109416,001e06114503,001e06113dbc,001e061144c0,001e06113cf1,001e06113acb,001e06113f54,001e06114500,001e0610ba13
2018-10-08 02:58:00,,,,,,,,,,,,,,,,,,,,,,,,0.04667,,,
2018-10-08 02:59:00,,,,,,,,,,,,,,,,,,,,,,,,,,,
2018-10-08 03:00:00,,,,,,,,,,,,,,,,,,,,,,,,,,,
2018-10-08 03:01:00,,,,,,,,,,,,0.11978,,,,,,,,,,,,,,,
2018-10-08 03:02:00,,,,,,,,,,,,,,,,,,,,,,,,,,,
2018-10-08 03:03:00,,,,,,,,,,,,,,,,,,,,,,,,,,,
2018-10-08 03:04:00,,,,,,,,,,,,,,,,,,,,,,,,,,,
2018-10-08 03:05:00,,,,,,,,,,,,,,,,,,,,,0.22782,,,,,,
2018-10-08 03:06:00,,,,,,,,,,,,,,,,,,,,,,,,,,,
2018-10-08 03:07:00,,,,,,,,,,,,,,,,,,,,,,,,,,,
2018-10-08 03:08:00,,,,,,,,,,,,,,,,,,,,,,,,,,,
2018-10-08 03:09:00,,,,,,,,,,,,,,,,,,,,,,,,,,,
2018-10-08 03:10:00,,,,,,,,,,,,,,,,,,,,,,,0.10343,,,,
2018-10-08 03:11:00,,,,,,,,,,,,,,,,,,,,,,,0.23037,,,,
2018-10-08 03:12:00,,,,,,,,,,,,,,,,,,,,,,,,,,,
2018-10-08 03:13:00,,,,,,,,,,,,,,,,,,,,,,,,0.09146,,,
2018-10-08 03:14:00,,,,,,,,,,,,,,,,,,,,,,,,0.17472,,,
2018-10-08 03:15:00,,,,,,,,,,,,,,,,,,,,,,,,,,,
2018-10-08 03:16:00,,,,,,,,,,,,,,,,,,,,,,,,,,,
2018-10-08 03:17:00,,,,,,,,,,,,,,,,,,,,,,,,,,,
2018-10-08 03:18:00,,,,,,,,,,,,,,,,,,,,,,,,0.02414,,,
2018-10-08 03:19:00,,,,,,,,,,,,,,,,,,,,,,,0.12547,0.02178,,,
2018-10-08 03:20:00,,,,,,,,,,,,,,,,,,,,,,,,,,,
2018-10-08 03:21:00,,,,,,,,,,,,,,,,,,,,,,,,,,,
2018-10-08 03:22:00,,,,,,,,,,,,,,,,,,,,,,,,,,,
2018-10-08 03:23:00,,,,,,,,,,,,,,,,,,,,,,,,,,,
2018-10-08 03:24:00,,,,,,,,,,,,,,,,,,,,,,,,,,,
2018-10-08 03:25:00,,,,,,,,,,,,,,,,,,,,,,,,,,,
2018-10-08 03:26:00,,,,,,,,,,,,,,,,,,,,,,,,,,,
2018-10-08 03:27:00,,,,,,,,,,,,,,,,,,,,,,,,,,,
2018-10-08 03:28:00,,,,,,,,,,,,,,,,,,,,,,,,,,,
2018-10-08 03:29:00,,,,,,,,,,,,,,,,,,,,,,,0.05395,,,,
2018-10-08 03:30:00,,,,,,,,,,,,,,,0.02419,,,,,,,,0.12368,,,,
2018-10-08 03:31:00,,,,,,,,,,,,,,,0.66446,,,,,,,,,,,,
2018-10-08 03:32:00,,,,,,,,,,,,,,,0.103,,,,,,,,,,,,
2018-10-08 03:33:00,,,,,,,,,,,,,,,,,,,,,,,,,,,
2018-10-08 03:34:00,,,,,,,,,,,,,,,,,,,,,,,,,,,
2018-10-08 03:35:00,,,,,,,,,,,,,,,,,,,,,,,,,,,
2018-10-08 03:36:00,,,,,,,,,,,,,,,,,,,,0.09808,,,,,,,
2018-10-08 03:37:00,,,,,,,,,,,,,,,,,,,,,,,,,,,
2018-10-08 03:38:00,,,,,,,,,,,,,,,,,,,,0.08456,,,,,,,
2018-10-08 03:39:00,,,,,,,,,,,,,,,,,,,,0.07583,,,,,,,
2018-10-08 03:40:00,,,,,,,,,,,,,,,,,,,,0.64518,,,,,,,
2018-10-08 03:41:00,,,,,,,,,,,,,,,,,,,,0.44562,,,,,,,
2018-10-08 03:42:00,,,,,,,,,,,,,,,,,,,,0.75493,,,,0.03117,,,
2018-10-08 03:43:00,,,,,,,,,,,,,,,,,,,,,,,,,,,
2018-10-08 03:44:00,,,,,,,,,,,,,,,,,,,,,,,,,,,
2018-10-08 03:45:00,,,,,,,,,,,,0.152,,,,,,,,,,,,,,,
2018-10-08 03:46:00,,,,,,,,,,,,,,,,,,,,,,,,,,,
2018-10-08 03:47:00,,,,,,,,,,,,,,,,,,,,,,,,,,,
2018-10-08 03:48:00,,,,,,,,,,,,,,,,,,,,,,,,,,,
2018-10-08 03:49:00,,,,,,,,,,,,,,,,,,,,,,,,,,,
2018-10-08 03:50:00,,,,,,,,,,,,,,,,,,,,,,,,0.04009,,,
2018-10-08 03:51:00,,,,,,,,,,,,,,,,,,,,,0.04075,,,,,,
2018-10-08 03:52:00,,,,,,,,,,,,,,,,,,,,,,,,,,,
2018-10-08 03:53:00,,,,,,,,,,,,,,,,,,,,,,,,,,,
2018-10-08 03:54:00,,,,,,,,,,,,,,,,,,,,,,,,,,,
2018-10-08 03:55:00,,,,,,,,,,,,,,,,,,,,,0.07923,,,,,,
2018-10-08 03:56:00,,,,,,,,,,,,,,,,,,,,,,,,,,,
2018-10-08 03:57:00,,,,,,,,,,,,,,,,,,,,,,,0.13106,,,0.34224,
2018-10-08 03:58:00,,,,,,,,,,,,,,,,,,,,,,,0.41201,,,,
2018-10-08 03:59:00,,,,,,,,,,,,,,,,,,,,,,,,,0.17773,,
2018-10-08 04:00:00,,,,,,,,,,,,,,,,,,,,,,,,,0.31958,,
2018-10-08 04:01:00,,,,,,,,,,,,,,,,,,,,,,,,,,,
2018-10-08 04:02:00,,,,,,,,,,,,,,,,,,,,,,,0.03302,,0.68648,0.23356,
2018-10-08 04:03:00,,,,,,,,,,,,,,,,,,,,,0.01341,,0.01967,,0.12799,0.02808,
2018-10-08 04:04:00,,,,,,,,,,,,,,,,,0.21121,,,,,,,,,,
2018-10-08 04:05:00,,,,,,,,,,,,,,,,,0.05418,,,,,,,,,,
2018-10-08 04:06:00,,,,,,,,,,,,,,,,,,,,,0.04301,,,,,0.20142,
2018-10-08 04:07:00,,,,,,,,,,,,,,,,,,,,,,,0.32732,,,,
2018-10-08 04:08:00,,,,,,,,,,,,,,,,,,,,,,,0.03989,0.21643,,,
2018-10-08 04:09:00,,,,,,,,,,,,,,,,,,,,,,,0.49676,,,,
2018-10-08 04:10:00,,,,,,,,,,,,,,,,,,,,,,,0.38582,0.05724,,,
2018-10-08 04:11:00,,,,,,,,,,,,,,,,,,,,,,,,,,0.19338,
2018-10-08 04:12:00,,,,,,,,,,,,,,,,,,,,,,,,,,,
2018-10-08 04:13:00,,,,,,,,,,,,,,,,,,,,,0.0798,,0.24986,,,,
