,001e0610ba46,001e0610ba15,001e0610ee33,001e0610ee82,001e0610ef27,001e061135cb,001e06113ad8,001e06112e77,001e0610f6db,001e06113107,001e06114fd4,001e0610e539,001e0610f703,001e0610e835,001e0610eef2,001e0610ee43,001e0610f05c,001e0610e537,001e06109416,001e06114503,001e06113dbc,001e061144c0,001e06113cf1,001e06113acb,001e06113f54,001e06114500,001e0610ba13
2018-10-08 01:08:00,0.00398,,,,,,0.00851,0.01433,0.02885,0.01892,0.00664,,,0.04249,,,0.00884,,0.06801,,,0.00615,0.02097,0.01166,,,0.00763
2018-10-08 01:09:00,,,,,,,0.00236,0.00489,0.00034,0.00496,0.00708,,,0.03456,0.00142,,0.00995,,0.06425,0.00119,,0.01664,0.0069,0.01927,0.01114,,0.02127
2018-10-08 01:10:00,,,,,,,0.00795,0.00351,0.01212,0.00833,,,,0.00703,0.00592,,0.01625,0.00206,0.06624,,,0.01272,0.00578,0.01641,0.00975,,0.00758
2018-10-08 01:11:00,,,,,,,0.02412,,,0.01296,,,0.0285,0.01061,0.00577,,0.03198,,0.07077,0.0036,,0.01544,0.0005,0.00838,0.00301,,0.01768
2018-10-08 01:12:00,,,,,,,0.00611,0.00078,,0.01746,,0.00028,0.04795,0.00262,0.00646,,0.0249,,0.06118,,,,7e-05,0.01305,0.00998,,0.00094
2018-10-08 01:13:00,,,,,,,0.01162,,,0.01958,,,0.03521,,0.00422,,0.01359,,0.06408,0.00833,,0.00082,0.01675,0.0223,0.01425,,
2018-10-08 01:14:00,0.00604,,,,,,0.02098,,0.0156,0.00235,0.00801,,0.04524,,0.00959,,0.02272,,0.06917,0.00565,,0.01172,0.00343,0.01511,0.00985,,
2018-10-08 01:15:00,0.01205,,,,,,0.01799,0.00083,0.00165,,0.01512,0.00473,0.00589,0.00662,0.00191,,0.01834,,0.07001,,,,0.02275,0.00698,0.0026,,0.00959
2018-10-08 01:16:00,0.00316,,,,,,0.01603,0.00394,0.00596,,,,0.00739,0.00435,0.00668,,0.0302,,0.07056,,,0.01467,0.01769,0.01989,0.01199,,0.03217
2018-10-08 01:17:00,0.00274,,,,,,0.01245,0.00849,0.00059,0.00511,0.01331,0.00281,0.00754,0.00618,0.00252,,0.03764,,0.07552,,,,0.01388,0.01847,0.00063,,0.00145
2018-10-08 01:18:00,0.01402,,,,,,0.00992,0.00275,0.00436,0.00262,,,0.00302,0.00821,0.00422,,0.02065,,0.07798,,,,0.00758,0.02548,,,0.01443
2018-10-08 01:19:00,0.01413,,,,,,0.01084,0.00657,,0.00254,0.01431,,,,,,0.03129,,0.07801,0.00086,,0.00097,0.01697,0.01597,0.00961,,0.00512
2018-10-08 01:20:00,0.00225,,,,,,0.00878,0.0053,,0.01736,0.00297,,0.00506,0.01205,,,0.01566,,0.08214,,,0.00488,0.00816,0.00668,,,
2018-10-08 01:21:00,,,,,,,0.0138,0.00213,,0.01954,,,0.00131,0.02599,,,0.00982,,0.0715,,,0.00987,0.02367,0.01302,0.00026,,0.00014
